ac_sink,sink_gender,sink_YOB,sink_race
35408267e52a4631da0ef23e129cc773,M,1973,White
0199b131b6c9eb66a34f4e976ba6820f,M,1974,Unknown
e00f76a57d0370b74d6605d5730a58d2,F,1948,White
a32b24d58a882df11b5c80fb2b851749,M,1977,White
da8d9e06f7db5db4189bdf8688e0b2cd,F,1957,White
db4a15bd6833dd2210601e6398fff1db,F,1967,White
efa5cde9c48bd8b86a95f731b7d0b7b4,F,1957,White
c547f04736c23cb0b5ac8d9adb105d42,F,1952,White
0f12bdd05b5a9ac435c54541b90c456c,M,1954,White
51805a88c3319bc009eca341f5b014f7,M,1943,White
d16d460c185bca33be2e56f8a2408aa7,F,1957,Unknown
bc56f4e49874afe1cb83e6e3a7e60897,F,1970,White
2ed1bbc68fd1e201b9d2251c1c4cfea6,F,1966,White
de3e2a64d8a9df7c310e8d1ffbd65927,F,1953,White
13c8e20bbc15497cbf8bcf86345452a0,F,1978,White
e7c6e92bfe9b65b901800164a04948a1,F,1963,White
4865b481751a2ab5071f349b03ec1d44,F,1967,White
e265fd99bae89ac41979258b8f06b581,F,1979,White
e6a3ba6417188448a802b2eae9a4e051,F,1954,White
8ed0a79fef5c618551555eae24276b88,F,1987,White
9d296a95bb4bdd5b7ca6338ecafaefc9,M,1972,White
1237c774acbc9a314dde174b50abea22,M,1967,White
97c2faa7594ceaba894c9aa597178137,F,1954,Other
7a2b16abd30059cf8c6532b9b41f0580,M,1977,White
a6803a3abf713040f513b1acca250c72,M,1984,White
f3952ea9cd1c6c3677cd8b6be0237f49,M,1955,White
353d4b34aa91e43ac2ea948872986e3b,M,1969,White
4530fe3b49db6f4c5fee514cc5f7fe98,M,1965,White
c3e08840189dd0e206544cc568ae3b79,M,1974,White
0b56e7fb83ea8c06513ff6bdddc73531,M,1977,Unknown
0068980e688cfb150ffe658728a3078e,M,1969,White
a9005a2a5120e6ae458967888f97d262,M,1970,Asian
52a2a3bf086ac225639ab0f7263af61f,M,1956,White
7fe72bd3c992940c770116aae39c5c3f,M,1970,White
d829cfdff332438418424e9d1e750608,M,1967,White
702027ac9a12fbdd59060a1b868f61fa,M,1960,White
2503927839f7161c516eeb2c68a7a0a9,F,1965,White
e1f251e770393378b79a4f94f0fbe245,M,1965,White
bc4eb5fd4c25b74f2e47a399f9acb674,M,1973,White
25d13fc22ce20c2a45237287de19ecc7,M,1975,White
69ab79e60c4b93b2342e0065076da006,F,1957,White
047a37ed9967283126686e505a8727fc,F,1955,White
dcd88528916940ced5d36626a34a2645,M,1988,White
47a8e06887cb37cf7531417315c06974,F,1944,White
7fe25b0d671f328dbd419a3c60e5d0af,F,1953,Unknown
ff1dd762e58520943f23de0b442babcb,F,1964,White
629dfed3b241c336b4afbc0c7f9eaf82,F,1962,White
fc93f8e2dc67ec84711c528e883ba62c,F,1979,White
71d38469242e40f540e333e60b22d10c,M,1958,Hispanic
845368d9a03db706b729a6c0b74d7e6e,M,1968,White
2106842c0ab0dfb47d8c49db6ea17dc5,F,1992,White
1e5c22ca849f4b338bef9938100d84ce,M,1977,White
1568b72ce111b4ea164ecbc97f5abc14,F,1966,White
c4151c8b774376e6ab4cdad24759aa00,M,1967,White
97543ed88ec245d44f57096226ea31c9,M,1981,White
4b257501df197e119ebf41b42530a6f4,M,1959,White
476f8fb09e1b077bcefd7df97a604039,F,1957,White
fbf2471d9118c3ec868f091a3516a5f2,F,1975,White
aae0241585aabbf3b5bfd63a605238f6,M,1967,White
6957a8013fdf27f2ed6f6b3a624feddc,F,1970,Other
318703e40f9fd53e395699a27a9be8dc,F,1957,White
ebce5f8b74bb3324c30e72acdb8fd2e3,F,1960,White
457264058980ae9a351a346c08db4876,F,1961,White
9a258d36a579830d28016dd0c57efe82,F,1956,White
df6861dc861965c2b85bc5dfb5447b4c,M,1963,White
10d0c161a18cdc4d08e31eff2d12f35f,F,1963,Unknown
abd6c4e80cf6c8a2284ba72f574e5a05,F,1953,Unknown
5d5eb3b6b2b15aaa618ee0b20149b870,F,1960,White
6a60647fd8a7d7f88dae097ffa26796a,M,1969,White
127b0dc8334b3a5d68c4e73e26561c28,F,1950,Hispanic
4fa2784ce16a7b437eedb61423248e26,M,1956,White
22f3cd4e85b29477ed62e2b8b412e9cb,F,1956,Unknown
3de44185d5be4d03e68af84e526192df,F,1965,White
9175504d7275323a6f6542dd7740eab9,M,1963,White
128d18176c431d97f61e54ac9953a856,M,1958,White
0b805ca12aa15878544deadb89f20c69,F,1958,Other
e00f76a57d0370b74d6605d5730a58d2,F,1948,White
a32b24d58a882df11b5c80fb2b851749,M,1977,White
da8d9e06f7db5db4189bdf8688e0b2cd,F,1957,White
db4a15bd6833dd2210601e6398fff1db,F,1967,White
efa5cde9c48bd8b86a95f731b7d0b7b4,F,1957,White
c547f04736c23cb0b5ac8d9adb105d42,F,1952,White
0f12bdd05b5a9ac435c54541b90c456c,M,1954,White
51805a88c3319bc009eca341f5b014f7,M,1943,White
d16d460c185bca33be2e56f8a2408aa7,F,1957,Unknown
