uid,ad_action,buy_action
46166305,did_not_click,
2567941943,clicked,
43015782,clicked,
1195519579,clicked,
48261631,clicked,
48261631,did_not_click,
45907888,did_not_click,
45907888,clicked,
1875464948,clicked,
4669872441,clicked,
42544462,clicked,
45799389,did_not_click,
1573493915,clicked,
49867490,clicked,
1572889849,did_not_click,
1571740402,did_not_click,
6184546956,did_not_click,
4041729788,did_not_click,
3929555778,clicked,
46178182,clicked,
43098643,clicked,
48519578,did_not_click,
2261048438,clicked,
45999478,clicked,
1195592665,did_not_click,
1875443740,clicked,
46031490,did_not_click,
46031490,clicked,
46031490,did_not_click,
50173640,clicked,
50173640,did_not_click,
47647147,did_not_click,
6185960899,did_not_click,
6185960899,clicked,
42608746,clicked,
6206261844,did_not_click,
46029388,clicked,
46156386,did_not_click,
48520099,clicked,
6174371886,clicked,
1875251049,clicked,
46035094,did_not_click,
1875029717,clicked,
49871268,clicked,
49951461,clicked,
49904683,clicked,
46029158,clicked,
50185356,clicked,
4669934108,did_not_click,
1379844402,clicked,
2889394877,did_not_click,
2889394877,clicked,
2889394877,did_not_click,
2889394877,did_not_click,
50107766,did_not_click,
46197424,clicked,
3017181092,clicked,
48546392,clicked,
3208278345,did_not_click,
3208278345,did_not_click,
45962626,clicked,
45947560,did_not_click,
46351364,clicked,
48527782,clicked,
46153194,clicked,
1571916618,did_not_click,
1874963676,clicked,
49921270,clicked,
46126145,did_not_click,
46108244,clicked,
2259871537,did_not_click,bought_car
1339639220,did_not_click,
46025589,did_not_click,
6204561733,did_not_click,
2890212464,did_not_click,
46253947,clicked,
50092455,clicked,
2566512330,clicked,
43111775,did_not_click,
2731640482,did_not_click,
2731640482,clicked,
45887702,did_not_click,
45887702,clicked,bought_car
45887702,did_not_click,
45887702,did_not_click,
411013018,clicked,
50122804,clicked,
2880942403,clicked,
2880942403,clicked,
50143089,clicked,
1717900744,clicked,
45958508,did_not_click,
45972498,clicked,
47625082,did_not_click,
50141275,did_not_click,bought_car
47689772,clicked,
2890080669,clicked,
47663310,did_not_click,
50122410,did_not_click,
6184385863,did_not_click,
1875025860,clicked,
46003088,clicked,
2261128285,clicked,
5322774796,clicked,
45971525,clicked,
45867995,did_not_click,
45867995,clicked,
45867995,clicked,
45867995,clicked,
46337347,clicked,
46337347,clicked,bought_car
46337347,clicked,
46337347,did_not_click,
46337347,did_not_click,
46337347,did_not_click,
46337347,did_not_click,bought_car
1571890636,clicked,
45890043,did_not_click,
45890043,clicked,
45890043,did_not_click,
45890043,did_not_click,
224709156,did_not_click,
224709156,clicked,
45922460,clicked,
1875429374,clicked,
1875429374,did_not_click,
1875429374,clicked,
3080008203,clicked,
45953380,clicked,
50146212,clicked,
6185794908,clicked,
45796902,clicked,
46101511,did_not_click,
50106036,clicked,
1875013848,clicked,
47690994,clicked,
45826820,clicked,
2259366244,did_not_click,
3078843226,clicked,
45981523,did_not_click,
2564107111,clicked,
48510784,did_not_click,
49849894,clicked,
6183723309,clicked,
46267066,clicked,
45947294,clicked,
46111080,did_not_click,
2891289004,clicked,
1195559540,did_not_click,
1379883464,did_not_click,
46029866,did_not_click,
2259958200,clicked,
46628025,clicked,
45852255,clicked,
46023886,clicked,
95647707,did_not_click,
50083954,did_not_click,
50083954,clicked,
2564431494,clicked,
46668393,did_not_click,
42300738,clicked,
46233737,clicked,
3079491620,did_not_click,
1379832782,clicked,
3017120799,clicked,
1195507222,did_not_click,
1195507222,clicked,
47714004,clicked,
3017167401,clicked,
50178270,did_not_click,
50178270,did_not_click,
6202619580,clicked,
