uid,ad_action,buy_action
46150332,clicked,
46150333,did_not_click,
46150335,did_not_click,
46150336,did_not_click,
46150337,clicked,
46150341,did_not_click,
46150343,did_not_click,
46150344,did_not_click,
46150345,did_not_click,
46150346,did_not_click,
46150347,did_not_click,
46150349,did_not_click,
46150352,clicked,
46150353,did_not_click,
46150354,clicked,
46150355,did_not_click,
46150356,clicked,
46150993,did_not_click,
46150998,did_not_click,
46151000,did_not_click,
46151002,clicked,
46151003,did_not_click,
46151004,did_not_click,
46151005,did_not_click,
46151007,did_not_click,
46151009,clicked,
46151011,did_not_click,
46151015,clicked,
46151016,did_not_click,
46151017,did_not_click,
46147253,did_not_click,
46147256,clicked,
46147257,clicked,
46147262,did_not_click,
46147264,did_not_click,
46147266,clicked,
46147268,did_not_click,
46147269,did_not_click,
46147270,did_not_click,
46147274,did_not_click,
46147275,clicked,
46147277,clicked,
46147279,did_not_click,
46147281,clicked,
46147282,did_not_click,
46147283,did_not_click,
46147285,did_not_click,
46147287,clicked,
46147288,did_not_click,
46147289,clicked,
46147291,did_not_click,
46147292,clicked,
46147302,did_not_click,
46147304,did_not_click,
46147305,did_not_click,
46147306,did_not_click,
46147309,clicked,
46147310,did_not_click,
46147311,did_not_click,
46147313,clicked,
46147314,did_not_click,
46147318,clicked,
46147321,clicked,
46148007,clicked,
46148008,clicked,
46148010,clicked,
46148011,did_not_click,
46148013,did_not_click,
46148014,did_not_click,
46148015,clicked,
46148016,clicked,
46148020,did_not_click,
46148022,did_not_click,
46148024,did_not_click,
46148025,clicked,
46148026,did_not_click,
46149397,did_not_click,
46149399,did_not_click,
46149400,clicked,
46149404,clicked,
46149405,did_not_click,
46149407,clicked,
46149408,clicked,
46149409,did_not_click,
46149410,clicked,
46149417,did_not_click,
46149418,did_not_click,
46149420,did_not_click,
46149422,clicked,
46149426,clicked,
46149427,did_not_click,
46149430,did_not_click,
46149434,did_not_click,
46149435,clicked,
46149436,did_not_click,
46149438,did_not_click,
46149442,did_not_click,
46149445,did_not_click,
46149447,did_not_click,
46149448,clicked,
46149449,clicked,
46149452,did_not_click,
46149453,did_not_click,
46149456,clicked,
46149457,did_not_click,
46149459,clicked,
46149460,did_not_click,
46149462,did_not_click,
46149463,did_not_click,
46149464,did_not_click,
46149465,clicked,
46149466,clicked,
46150117,did_not_click,
46150119,clicked,
46150120,did_not_click,
46150123,did_not_click,
46150124,did_not_click,
46150126,clicked,
46150128,clicked,
46150129,did_not_click,
46150130,did_not_click,
46150131,did_not_click,
46150132,clicked,
46150134,clicked,
46144096,did_not_click,
46144099,did_not_click,
46144100,did_not_click,
46144101,did_not_click,
46144103,did_not_click,
46144104,did_not_click,
46144105,did_not_click,
46144106,clicked,
46144108,did_not_click,
46144110,clicked,
46144111,did_not_click,
46144113,clicked,
46144114,clicked,
46144118,did_not_click,
46144121,did_not_click,
46144122,did_not_click,
46144123,did_not_click,
46144128,did_not_click,
46144129,did_not_click,
46144134,clicked,
46144136,did_not_click,
46144138,clicked,
46144139,clicked,
46144145,did_not_click,
46144146,clicked,
46144148,did_not_click,
46144151,clicked,
46144153,clicked,
46144154,did_not_click,
46144155,clicked,
46144156,clicked,
46144157,did_not_click,
46144839,did_not_click,
46144840,did_not_click,
46144841,did_not_click,
46144842,did_not_click,
46144843,did_not_click,
46144844,did_not_click,
46144845,did_not_click,
46144848,did_not_click,
46144849,clicked,
46144850,clicked,
46144854,did_not_click,
46144856,did_not_click,
46144857,did_not_click,
46144759,clicked,
46144760,did_not_click,
46144764,clicked,
46144769,clicked,
46144772,clicked,
46144773,did_not_click,
46144774,did_not_click,
46144775,did_not_click,
46144776,did_not_click,
46144777,did_not_click,
46144778,did_not_click,
46144779,clicked,
46144780,clicked,
46144782,did_not_click,
46144786,did_not_click,
46144787,clicked,
46144791,did_not_click,
46144792,did_not_click,
46144793,did_not_click,
46144795,clicked,
46144796,did_not_click,
46144797,clicked,
46144800,did_not_click,
46144803,did_not_click,
46144806,clicked,
46144810,did_not_click,
46144811,clicked,
46144816,did_not_click,
46144817,clicked,
46144818,clicked,
46144819,clicked,
46144820,did_not_click,
46144821,did_not_click,
46144822,did_not_click,
46144824,did_not_click,
46144825,did_not_click,
46144827,did_not_click,
46144832,did_not_click,
46144833,clicked,
46145470,clicked,
46145472,clicked,
46145474,did_not_click,
46145475,clicked,
46145478,clicked,
46145480,clicked,
46145482,did_not_click,
46145483,did_not_click,
46145487,did_not_click,
46145488,clicked,
46145489,did_not_click,
46145492,did_not_click,
46145493,clicked,
46145495,did_not_click,
46140839,clicked,
46140843,clicked,
46140844,clicked,
46140845,did_not_click,
46140846,clicked,
46140847,did_not_click,
46140851,did_not_click,
46140855,clicked,
46140861,did_not_click,
46140864,did_not_click,
46140866,did_not_click,bought_car
46140867,did_not_click,
46140868,did_not_click,
46140869,clicked,
46140870,did_not_click,
46140874,did_not_click,
46140875,did_not_click,
46140877,did_not_click,
46140879,clicked,
46140880,did_not_click,
46140881,clicked,
46140882,did_not_click,
46140883,clicked,
46140886,clicked,
46140887,did_not_click,
46140888,did_not_click,
46140889,did_not_click,
46140894,did_not_click,
46140895,did_not_click,
46140896,did_not_click,
46140897,did_not_click,
46140899,did_not_click,
